Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Vehicle Charging Infrastructure Solutions (DPS),Crown Commercial Service,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","   7 April 2026, 12am","  £450,000,000","  10 April 2020, last edited  2 April 2024"
SC22201 Mobility as A Service (MaaS) Partnership Services,Kent County Council,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £4,300,000",   2 April 2024
Digital Transcription Services,University Hospitals Dorset NHS Foundation Trust,  Opportunity,  Open,  BH15 2JB,"   1 May 2024,  2pm","  £280,000",   2 April 2024
"PROVISION OF PAINTING, FLOOR WORKS AND MINOR REPAIR SERVICES FOR THE BRITISH HIGH COMMISSION NAIROBI",Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"   3 May 2024, 11am",  £0,   2 April 2024
Temporary Accommodation Furniture,Thurrock Council,  Opportunity,  Open,  RM17 6SL,"   2 May 2024, 12pm",  £0,   2 April 2024
Contract for the Development of Mountview,Cheshire East Borough Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £10,000,000",   2 April 2024
SUPPLY OF ELECTRICAL MATERIALS AND ACCESSORIES TO THE BRITISH HIGH COMMISSION NAIROBI,Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"   2 May 2024, 12pm",  £0,   2 April 2024
CA13867 - Learning Academy Partnership South West tender for Alarm Maintenance Services,Learning Academy Partnership South West,  Opportunity,  Open,  TQ12 3SB,"  30 April 2024, 12pm","  £31,045",   2 April 2024
CA13864 - Learning Academy Partnership South West ITT for M&E and Water Hygiene Services,Learning Academy Partnership South West,  Opportunity,  Open,  TQ12 3SB,"  30 April 2024, 12pm","  £85,000",   2 April 2024
Authorising Engineer for Lifts,LIFECYCLE MANAGEMENT GROUP LIMITED,  Opportunity,  Open,  WR51DD,"  30 April 2024,  2pm",  £0,   2 April 2024
"Cleaning including Window Cleaning for the North, South and North London",Clarion Housing Group Limited,  Opportunity,  Open,  West Midlands,"   7 May 2024, 12pm","  £10,188,916",   2 April 2024
"MOVA - Design, Configuration and Validation",South Gloucestershire Council,  Opportunity,  Open,  England,"  10 May 2024, 12pm","  £200,000",   2 April 2024
YPO 001239 - Catering Cleaning Chemicals,YPO,  Opportunity,  Open,  Any region,"   7 May 2024,  2pm","  £311,000",   2 April 2024
The Provision of Workwear and PPE,Oxford City Council,  Opportunity,  Open,  OX4 2HH,"   2 May 2024, 12pm",  £0,   2 April 2024
Dynamic Purchasing System for the provision of Alternative Education,DERBY CITY COUNCIL,  Opportunity,  Open,  East Midlands,"  31 May 2024, 10am","  £950,000 to £1,900,000","  20 December 2018, last edited  2 April 2024"
NQB Effective Staffing Programme - Children & Young People's Services Improvement Resource Rapid evidence review,NHS England,  Opportunity,  Open,  LS2 7UE,"   7 May 2024, 12pm","  £20,000",   2 April 2024
RMCB 048 - Maintenance and Repair of Electrical Kitchen Equipment and Canopy Cleaning,Shropshire Council,  Opportunity,  Open,  West Midlands,"   2 May 2024, 12pm","  £270,000",   2 April 2024
HRA Asbestos Remedial Works,Medway Council,  Opportunity,  Open,  England,"   3 May 2024,  5pm","  £900,000",   2 April 2024
HRA Asbestos Surveying Works,Medway Council,  Opportunity,  Open,  England,"   3 May 2024,  5pm","  £720,000",   2 April 2024
Surrey County Council and Multiply,Surrey County Council,  Opportunity,  Open,  RH2 8EF,"   2 May 2024, 12pm","  £1,600,000",   2 April 2024
Rosemary Court Balcony Works,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  30 April 2024, 12pm","  £200,000 to £240,000",   2 April 2024
​Multifunctional Polymer Chemistry Pilot Plant Pilot Plant and Modification/Upgrades to Facility​,CPI (Centre for Process Innovation),  Opportunity,  Open,  TS104RF,"   1 May 2024, 12pm","  £0 to £2,000,000","  28 March 2024, last edited  2 April 2024"
Construction of Barripper Village Hall Extension,Barripper Village Association,  Opportunity,  Open,  TR14 0RR,"   3 May 2024,  5pm","  £45,000 to £65,000",   1 April 2024
Truro & Penwith Academy Trust - Provision of Multi Functional Devices,Truro & Penwith Academy Trust,  Opportunity,  Open,  South West,"   9 May 2024, 12pm",  £0,  29 March 2024
Major Building Works DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JG,"   9 September 2026,  5pm",  £0,"  17 October 2023, last edited 29 March 2024"
A Framework for the Inspection of Highway Structures 2024,South Gloucestershire Council,  Opportunity,  Open,  England,"   2 May 2024, 12pm","  £3,000,000",  28 March 2024
Legal Services for the British Embassy Warsaw,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  30 April 2024,  6pm","  £50,000",  28 March 2024
Tangham Campsite Concession,Forestry England,  Opportunity,  Open,  East of England,"  30 April 2024, 12am","  £4,000,000",  28 March 2024
West Yorkshire Electric Vehicle Infrastructure Framework,West Yorkshire Combined Authority,  Opportunity,  Open,  Yorkshire and the Humber,"  30 April 2024,  2pm","  £50,000,000",  28 March 2024
"Contract to design, build, operate and maintain the South Kilburn District Heat Network",London Borough of Brent,  Opportunity,  Open,  England,"   2 May 2024,  1pm","  £36,000,000",  28 March 2024
Maintenance of Firearms Ranges,Greater Manchester Combined Authority - Greater Manchester Police,  Opportunity,  Open,  Any region,"   1 May 2024, 12pm","  £2,000,000 to £8,000,000",  28 March 2024
Grounds and external maintenance contract,Framlingham Town Council,  Opportunity,  Open,  Ip13 9BH,"  14 May 2024, 12pm","  £54,000","  28 March 2024, last edited 28 March 2024"
Procurement of a Cryogen Free Measurement System,University of Bristol,  Opportunity,  Open,  South West,"   9 May 2024,  1pm","  £115,000",  28 March 2024
Heathfield Schools' Partnership Catering Tender,Heathfield Schools' Partnership,  Opportunity,  Open,  South East,"  15 May 2024,  1pm",  £0,  28 March 2024
Procurement of a Framework Agreement of Suppliers to provide Initial Teacher Training and Early Career Framework (ITTECF)-Based Training from September 2025,Department for Education,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","  20 June 2024,  5pm","  £250,000,000",  28 March 2024
Technical Support of Donation Services Equipment,NHS Blood and Transplant (Bristol),  Future opportunity,  Open,  BS34 7QH,Approach to market date  1 June 2024,"  £8,000,000",  28 March 2024
Planned Works Consultancy Services,Metropolitan Housing Trust Limited,  Opportunity,  Open,  East of England,"  30 April 2024,  1pm","  £600,000",  28 March 2024
"Provision of Sports and Fine Turf Materials, Equipment and Sundries",Southend City Council,  Opportunity,  Open,  England,"  30 April 2024, 12pm","  £225,000",  28 March 2024
E50 Roger Howe A685 Joint Replacement and Concrete Repairs,Westmorland and Furness Council,  Opportunity,  Open,  England,"  10 May 2024, 12pm","  £250,000",  28 March 2024
Future Opportunity Notice for Project HERA,Ministry of Defence,  Future opportunity,  Open,  HP14 4UE,Approach to market date  1 October 2024,"  £50,000,000",  28 March 2024
The Supply of of Extracorporeal Shock Wave Therapy (ESWT) Machines,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 27 May 2024,"  £2,700,000 to £4,500,000",  28 March 2024
CPU6794 - Gambling Related Harm Training for Professionals,Nottingham City Council,  Opportunity,  Open,  England,"   7 May 2024, 10am","  £225,000",  28 March 2024
SPS 2717 - Housing Adaptations Works (Internal and External),Royal Borough of Greenwich,  Opportunity,  Open,  London,"  30 April 2024,  5pm",  £0,  28 March 2024
Underwater Video Camera,UNIVERSITY OF PLYMOUTH,  Future opportunity,  Open,  South West,Approach to market date  3 August 2024,"  £50,000 to £100,000",  28 March 2024
"Boiler Replacement Chancellors A Block, University of Keele",Keele University,  Opportunity,  Open,  ST5 5BG,"   1 April 2025, 12pm","  £110,000","  27 March 2024, last edited 28 March 2024"
LPS CAS - Site Security Services - LCC34682,Lancashire County Council,  Opportunity,  Open,  North West,"  30 April 2024, 12pm","  £300,000 to £1,500,000",  28 March 2024
Star Academies - Health & Safety Auditing,Star Academies,  Opportunity,  Open,  BB1 2HT,"   8 May 2024, 12pm","  £50,000 to £75,000",  28 March 2024
Clerk of Works Framework,Paradigm Housing Group,  Opportunity,  Open,  England,"  14 May 2024, 12pm","  £2,500,000",  28 March 2024
Enrolment Support Services - International Students,University of Brighton,  Opportunity,  Open,  BN2 4AT,"   3 May 2024,  1pm",  £0,  28 March 2024
The Sample Management Capability (SMC) - PIN 2 Technical Dialogue,Sellafield Ltd,  Early engagement,  Open,  CA20 1PG,  29 April 2024,Publication date 28 March 2024,None
Lund Quarter - MEP and Sustainability Consultant,Populo Living,  Opportunity,  Open,  E15 4QZ,"  30 April 2024, 12pm",  £0,"  25 March 2024, last edited 28 March 2024"
Provision of a suitable Battery System for a T69 Tram,BLACK COUNTRY INNOVATIVE MANUFACTURING ORGANISATION,  Early engagement,  Open,  DY1 4AW,  30 April 2024,Publication date 28 March 2024,None
Provision for Lee Valley Regional Park Velodrome & Bridge L05 External Repairs,Lee Valley Regional Park Authority,  Opportunity,  Open,  EN2 9HG,"  16 May 2024, 12pm",  £0,"  28 March 2024, last edited 28 March 2024"
Halifax Borough Market - Refurbishment Works 'Under the Clock'.,The Borough Council of Calderdale,  Opportunity,  Open,  HX1 1TP,"   3 May 2024, 12pm","  £40,000 to £100,000",  28 March 2024
Supply of Gases to the Air Quality Monitoring Network,Environment Agency,  Opportunity,  Open,  Any region,"  10 May 2024, 12pm",  £1,  28 March 2024
Transport & Processing Of Dry Mixed Recyclate For Hambleton,Yorwaste Ltd,  Opportunity,  Open,  England,"  29 April 2024, 11:59pm","  £1,120,945",  28 March 2024
Market Engagement Event - Housing Support Services,Bournemouth Christchurch and Poole Council,  Future opportunity,  Open,  England,Approach to market date  1 July 2024,  £0,  28 March 2024
"Framework Agreement for Installation and Repair (North East, Yorkshire and Humberside)",PROCURE PLUS HOLDINGS LIMITED,  Opportunity,  Open,  United Kingdom,"  10 May 2024,  5pm","  £866,000,000",  28 March 2024
Multi Lot Framework Agreement for Minor Works,London Borough of Hillingdon,  Opportunity,  Open,  London,"   3 May 2024,  1pm","  £108,000,000",  28 March 2024
250_24 Road Repair Materials,Espo,  Future opportunity,  Open,  United Kingdom,Approach to market date 31 May 2024,"  £12,000,000","  23 January 2024, last edited 28 March 2024"
Provision of Insurance Service,Camborne Town Council,  Opportunity,  Open,  TR14 8HA,"  30 April 2024, 12pm","  £30,000",  28 March 2024
Sterile Services,"Barking, Havering and Redbridge University Hospitals NHS Trust",  Opportunity,  Open,  RM7 0AG,"   8 May 2024, 11am","  £1,872,496",  28 March 2024
Provision of 24/7 Core Service and Planned Care and Support Service at Ashview Care Scheme,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024,  1pm","  £1,925,000",  28 March 2024
Fresh and Food to Go Direct Solutions Framework,NHS Supply Chain,  Opportunity,  Open,  Any region,"  10 May 2024,  3pm","  £70,000,000 to £140,000,000",  28 March 2024
"Early Engagement, Soft Market Assessment - Market Position Statement Adult Social Care",Bournemouth Christchurch and Poole Council,  Future opportunity,  Open,  England,Approach to market date  1 May 2024,  £0,  28 March 2024
Framework for Structural Engineering Services,Unitas Stoke on Trent Ltd,  Opportunity,  Open,  West Midlands,"  30 April 2024, 12pm","  £160,000",  28 March 2024
Framework  for Solar Pv & Battery Installations In Conjunction With The West Yorkshire Combined Authority,In-Tend e-Tendering,  Opportunity,  Open,  HX1 2EB,"   7 May 2024,  5pm",  £0,"  28 March 2024, last edited 28 March 2024"
GB-Middlesbrough: Auscultation Trainers,Teesside University,  Opportunity,  Open,  North East,"  30 April 2024,  2pm","  £50,000 to £100,000",  28 March 2024
The Provision of Custom Made Orthotics,Leidos Supply,  Future opportunity,  Open,  Any region,Approach to market date 31 October 2024,"  £4,000,000",  28 March 2024
C24021 Purchase of Utility Task Vehicles and Firefighting Skid Units,Kent Fire and Rescue Service,  Opportunity,  Open,  England,"  14 May 2024, 12pm","  £250,000",  27 March 2024
In-Country Student Recruitment Representation Services,University of York,  Opportunity,  Open,  YO10 5DD,"  30 April 2024, 12pm","  £0 to £3,500,000",  27 March 2024
Workforce Absence Prevention and Protection,HEART ACADEMIES TRUST,  Opportunity,  Open,  Any region,"   7 May 2024, 12pm","  £1 to £60,000,000","  27 March 2024, last edited 27 March 2024"
Extra Care Housing and Social Inclusion,Plymouth City Council,  Opportunity,  Open,  England,"   7 May 2024, 12pm","  £33,500,000","  14 March 2024, last edited 27 March 2024"
Social Infrastructure Support Service for London Borough of Barking & Dagenham,London Borough of Barking and Dagenham,  Opportunity,  Open,  London,"  30 April 2024,  5pm","  £4,000,000",  27 March 2024
Lowestoft Town Hall Restoration & Extension,Lowestoft Town Council,  Future opportunity,  Open,  East of England,Approach to market date 16 May 2024,"  £0 to £7,000,000","  27 March 2024, last edited 27 March 2024"
"For the provision of Fund Investment Adviser, Operator and Administrator Services for the Evergreen, Evergreen 2 and Low Carbon Funds",Greater Manchester Combined Authority,  Opportunity,  Open,  England,"   3 May 2024, 12pm",  £0,  27 March 2024
Tender for a multi-supplier framework for the provision of education and training in construction industry related trade skills in Scotland,Construction Industry Training b,  Opportunity,  Open,  Scotland,"   3 May 2024,  4pm","  £40,000,000",  27 March 2024
UK Pavilion at Expo 2025 Osaka - Full Operational Services (FOS),Department for International Trade,  Opportunity,  Open,  London,"  30 April 2024, 12pm","  £8,400,000 to £10,800,000",  27 March 2024
EEM0070 Roofing Replacement and Roofing Repairs Framework,EFFICIENCY EAST MIDLANDS LIMITED,  Opportunity,  Open,"  England, Wales","  22 May 2024,  2pm","  £200,000,000",  27 March 2024
Agency FX Trading & Cash Equitization Services,BRUNEL PENSION PARTNERSHIP LIMITED,  Early engagement,  Open,  South West,  30 April 2024,Publication date 27 March 2024,None
"Homes England - Crowland St. Trial Embankments, Southport, Merseyside",Homes England (the name adopted by the Homes and Communities Agency),  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £375,000 to £525,000","  17 July 2023, last edited 27 March 2024"
Multifunctional Devices (MFDs) and Managed Print Services,City of London Corporation,  Opportunity,  Open,  London,"   2 May 2024, 12pm","  £2,500,000 to £3,500,000",  27 March 2024
LUV01240 - UK & Global Media & PR,University of Leicester,  Opportunity,  Open,  East Midlands,"  30 April 2024,  5pm","  £7,000,000",  27 March 2024
Installation of Roof Edge Protection,University of Kent,  Opportunity,  Open,  South East,"   3 May 2024, 12pm",  £0,  27 March 2024
Legal Services in relation to s106 Planning Obligations.,Welwyn Hatfield Borough Council,  Opportunity,  Open,  AL8 6AE,"   3 May 2024, 12:01pm","  £80,000 to £120,000","  26 March 2024, last edited 27 March 2024"
LDC - Transport Interchange Hub Gateway and  North Lane to High Street Improvements,Lewes District  Council,  Opportunity,  Open,  BN7 1AB,"   7 May 2024,  2pm",  £0,"  14 March 2024, last edited 27 March 2024"
LDC - Combined Town Centre Streetscape Improvements,Lewes District  Council,  Opportunity,  Open,  BN7 1AB,"   7 May 2024,  2pm",  £0,"  14 March 2024, last edited 27 March 2024"
